Latitude,Longitude,GPS Alt,Hdop,Fix Quality,Satellites,gps_string,timestamp,run_number,gs_lat,gs_lon,gs_alt,gs_baro,gs_temp,radio_id,radio_name,rssi,lqi,crc,software_version,board_serial_number,time_stamp_ms,callsign,temperature,fcb_altitude,v_speed,fcb_latitude,fcb_longitude,gps_alt,fcb_battery_voltage,ground_speed,course_over_ground,gps_time,gps_sats,fcb_state_number,ble_client,distance,pyro_continuity,pyro_status,flash_usage,line_cutter_number,line_cutter_0_state,line_cutter_0_time_stamp_ms,line_cutter_0_barometer_pressure,line_cutter_0_fcb_altitude,line_cutter_0_delta_alt,line_cutter_0_temperature,line_cutter_0_accel_z,line_cutter_0_battery_voltage,line_cutter_0_cut_1,line_cutter_0_cut_2,line_cutter_0_current_sense,line_cutter_0_photoresistor,rot_vel_x,rot_vel_y,rot_vel_z,accel_x,accel_y,accel_z,magnetic_field_x,magnetic_field_y,magnetic_field_z,angle_vertical,roll,pitch,yaw,orientation_quaternion,orientation_rpy,barometer_pressure,barometer_2_pressure,press_ref,ground_elev,ground_temp,pitot_ducer_press,line_cutter_4_limitVel,line_cutter_4_altitude1,line_cutter_4_altitude2,line_cutter_4_disreefDelay1,line_cutter_4_disreefDelay2,line_cutter_4_pwmVoltage1,line_cutter_4_pwmVoltage2,line_cutter_4_pwmDuration,line_cutter_4_lightThreshold,line_cutter_4_lightTriggerTime,line_cutter_4_seaLevelPressure,line_cutter_0_limitVel,line_cutter_0_altitude1,line_cutter_0_altitude2,line_cutter_0_disreefDelay1,line_cutter_0_disreefDelay2,line_cutter_0_pwmVoltage1,line_cutter_0_pwmVoltage2,line_cutter_0_pwmDuration,line_cutter_0_lightThreshold,line_cutter_0_lightTriggerTime,line_cutter_0_seaLevelPressure,line_cutter_1_state,line_cutter_1_time_stamp_ms,line_cutter_1_barometer_pressure,line_cutter_1_fcb_altitude,line_cutter_1_delta_alt,line_cutter_1_temperature,line_cutter_1_accel_z,line_cutter_1_battery_voltage,line_cutter_1_cut_1,line_cutter_1_cut_2,line_cutter_1_current_sense,line_cutter_1_photoresistor,cli_string
,,,,,,,2023-06-26 19:06:30.907877,1,,,,,,0,433 MHz Radio,-73 db,17,Bad,0,0,233407,KM6GNL,,,,,,,,,,,,,,,,,,0,0,0,0,1.401298464324817e-45,-9.4039548065783e-38,0.0,5.877471754111438e-39,0.0,16384,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-06-26 19:06:30.949924,1,,,,,,0,433 MHz Radio,-76 db,24,Bad,0,0,233318,kI6GNL,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,4.484155085839415e-44,3.851867235614164e-34,0.0,-4.484155085839415e-44,-2.350988701644575e-38,-0.0,88.5078125,0.0,5.891821050386124e-39,499.6,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-06-26 19:06:30.951643,1,,,,,,0,433 MHz Radio,-75 db,18,Bad,0,64,101486,KM6NL,25.224374771118164,309287.59375,-2460.75927734375,34.1291748046875,-2.1790131769396413e+21,1057850458112.0,0.0,1.5118150395360522e-39,0.0,2023-06-26 19:06:28,4,6,0,6374249.233155207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.98073561166667,-91.79069488166667,255.747,0.9,RTK fixed,13,"$GPGGA,115739.00,4158.8441367,N,09147.4416929,W,4,13,0.9,255.747,M,-32.00,M,01,0000*6E
",2023-06-26 19:06:30.954947,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.98073561166667,-91.79069488166667,255.747,0.9,RTK fixed,13,"$GPGGA,115739.00,4158.8441367,N,09147.4416929,W,4,13,0.9,255.747,M,-32.00,M,01,0000*6E
",2023-06-26 19:06:31.282926,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.98073561166667,-91.79069488166667,255.747,0.9,RTK fixed,13,"$GPGGA,115739.00,4158.8441367,N,09147.4416929,W,4,13,0.9,255.747,M,-32.00,M,01,0000*6E
",2023-06-26 19:06:31.283825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.98073561166667,-91.79069488166667,255.747,0.9,RTK fixed,13,"$GPGGA,115739.00,4158.8441367,N,09147.4416929,W,4,13,0.9,255.747,M,-32.00,M,01,0000*6E
",2023-06-26 19:06:31.613719,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.98073561166667,-91.79069488166667,255.747,0.9,RTK fixed,13,"$GPGGA,115739.00,4158.8441367,N,09147.4416929,W,4,13,0.9,255.747,M,-32.00,M,01,0000*6E
",2023-06-26 19:06:31.614421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.98073561166667,-91.79069488166667,255.747,0.9,RTK fixed,13,"$GPGGA,115739.00,4158.8441367,N,09147.4416929,W,4,13,0.9,255.747,M,-32.00,M,01,0000*6E
",2023-06-26 19:06:31.792498,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-06-26 19:06:31.834047,1,,,,,,0,433 MHz Radio,-76 db,20,Bad,0,0,67342503,KM6GNL,,,,,,,,,,,,,,,,,,0,0,32768,1048576,1.4693679385278594e-39,1.1020259538958945e-39,0.0,7.347288108147881e-40,-0.0,0,0,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
